Citizenship law threatens the very idea of India. We must raise our voices,2020-01-06T11:00:25+05:30,Debsmita Chowdhury,Citizenship Amendment Act,https://indianexpress.com/article/opinion/columns/citizenship-amendment-act-india-nrc-bjp-6201242/
"Mumbai: Severed, decomposed head of woman found in Kurla",2020-01-06T06:50:08+05:30,Express News Service,Mumbai,https://indianexpress.com/article/cities/mumbai/mumbai-decomposed-head-of-woman-found-in-kurla-6201455/
"Cyrus Mistry ‘won’t pursue Tata Sons chairmanship’, but will ‘protect rights of minority shareholders’",2020-01-06T03:24:29+05:30,ENS Economic Bureau,Cyrus Mistry,https://indianexpress.com/article/business/companies/cyrus-mistry-wont-pursue-tata-sons-chairmanship-but-will-protect-rights-of-minority-shareholders/
"Air India to clawback salary, benefits of employees who leave before stipulated period",2020-01-06T03:22:26+05:30,Aashish Aryan,air india,https://indianexpress.com/article/business/aviation/air-india-to-clawback-salary-benefits-of-employees-who-leave-before-stipulated-period-6201406/
"Maharashtra: Will take call on ‘urban Naxalism’ after talks, says Home minister Anil Deshmukh",2020-01-06T06:50:39+05:30,Vivek Deshpande,"Anil Deshmukh, Maharashtra",https://indianexpress.com/article/india/maharashtra-home-minister-anil-deshmukh-take-call-on-urban-naxalism-6201445/
"Pune: After protests by students, FTII cuts JET fees by half",2020-01-06T06:08:20+05:30,Express News Service,Film and Television Institute of India (FTII),https://indianexpress.com/article/cities/pune/pune-after-protests-by-students-ftii-cuts-jet-fees-by-half-6201487/
"Collapsed co-operative banks: DICGC facing devolvement of over Rs 14,000 crore",2020-01-06T03:19:37+05:30,ENS Economic Bureau,PMC bank,https://indianexpress.com/article/business/banking-and-finance/collapsed-co-operative-banks-dicgc-facing-devolvement-of-over-rs-14000-crore-6201415/
Mumbai: Farmer sitting in protest outside Matoshree ‘forcibly removed’ by cops,2020-01-06T11:56:11+05:30,Express News Service,Uddhav Thackeray,https://indianexpress.com/article/cities/mumbai/mumbai-farmer-sitting-in-protest-outside-matoshree-forcibly-removed-by-cops-6201424/
I-T notifies some returns for AY2020-21; simple ITR not for those owning house jointly,2020-01-06T11:32:33+05:30,ENS Economic Bureau,income tax,https://indianexpress.com/article/business/i-t-notifies-some-returns-for-ay2020-21-simple-itr-not-for-those-owning-house-jointly-6201432/
Assam: IPS officer booked for ‘molesting’ colleague’s teenage daughter,2020-01-06T11:32:17+05:30,Abhishek Saha,"Assam, POCSO Act",https://indianexpress.com/article/north-east-india/assam/assam-ips-officer-booked-for-molesting-teenager-6201409/
"JNU violence: JNUSU head, professors admitted to AIIMS",2020-01-06T10:02:28+05:30,Astha Saxena,JNU,https://indianexpress.com/article/cities/delhi/jnu-violence-jnusu-head-professors-admitted-to-aiims-6201403/
Gujarat: ‘Missing’ Dalit woman found hanging from tree in Modasa,2020-01-06T02:42:03+05:30,Express News Service,Dalit atrocities,https://indianexpress.com/article/cities/city-others/gandhinagar-missing-dalit-woman-found-hanging-from-tree-in-modasa-6201261/
CBI files fresh case on coal block allocation,2020-01-06T02:41:37+05:30,Deeptiman Tiwary,Coal block allocation case,https://indianexpress.com/article/india/cbi-files-fresh-case-on-coal-block-allocation-6201394/
"Einstein, the robot, leaves audience wanting more at IIT-B Techfest",2020-01-06T11:33:50+05:30,Abha Goradia,IIT Bombay,https://indianexpress.com/article/education/iit-b-techfest-einstein-robot-showcased-10-minute-interaction-6201339/
Nirmala Sitharaman to Ashok Gehlot: Listen to deputy on Kota infant deaths,2020-01-06T02:36:17+05:30,Express News Service,"Ashok Gehlot, Nirmala Sitharaman",https://indianexpress.com/article/india/nirmala-sitharaman-to-ashok-gehlot-listen-to-deputy-on-kota-infant-deaths-6201399/
Kota infant deaths: Rajasthan health minister takes veiled jibe at Sachin Pilot,2020-01-06T02:35:34+05:30,Express News Service,Sachin Pilot,https://indianexpress.com/article/india/kota-infant-deaths-rajasthan-health-minister-takes-veiled-jibe-at-sachin-pilot-6201389/
Stuck in reverse,2020-01-06T02:30:59+05:30,Mallica Joshi,delhi,https://indianexpress.com/article/cities/delhi/delhi-driving-licence-automated-tests-rto-6201391/
"Mumbai: In December, GRP rescues 643 children, repatriates 481",2020-01-06T06:15:15+05:30,Express News Service,Government Railway Police (GRP),https://indianexpress.com/article/cities/mumbai/mumbai-december-government-railway-police-rescues-643-children-6201364/
K Srinath Reddy: ‘The price (of drugs) should not exceed the cost price by an unreasonable amount’,2020-01-06T05:27:57+05:30,Prabha Raghavan,,https://indianexpress.com/article/governance/k-srinath-reddy-the-price-of-drugs-should-not-exceed-the-cost-price-by-an-unreasonable-amount-6201468/
"After report on baby deaths in Gujarat, Dy CM points to ‘cyclical phenomenon’",2020-01-06T02:27:07+05:30,Express News Service,,https://indianexpress.com/article/india/after-report-on-baby-deaths-in-gujarat-dy-cm-points-to-cyclical-phenomenon-6201363/
Govt’s FY20 spending seen lower by Rs 2 lakh crore; sharpest cut since FY15,2020-01-06T03:31:01+05:30,ENS Economic Bureau,,https://indianexpress.com/article/business/govts-fy20-spending-seen-lower-by-rs-2-lakh-crore-sharpest-cut-since-fy15-6201465/
"Maharashtra: Ajit Pawar gets finance, Anil Deshmukh home",2020-01-06T02:23:45+05:30,Express News Service,"Aaditya Thackeray, ajit pawar, Uddhav Thackeray",https://indianexpress.com/article/india/maharashtra-ajit-pawar-gets-finance-anil-deshmukh-home-6201375/
Smriti Irani attacks Oppn over CAA ‘politics’,2020-01-06T02:22:06+05:30,Sakshi Dayal,smriti irani,https://indianexpress.com/article/india/smriti-irani-attacks-oppn-over-caa-politics-6201385/
DGFT asked to tighten norms for accrediting exporters with ‘star’ tag,2020-01-06T03:26:54+05:30,ENS Economic Bureau,,https://indianexpress.com/article/business/dgft-asked-to-tighten-norms-for-accrediting-exporters-with-star-tag-6201459/
"Pune Metro Corridor 1: From Shivaji Maharaj to Shaniwar Wada, all get pride of place",2020-01-06T06:08:29+05:30,,Pune Metro,https://indianexpress.com/article/cities/pune/pune-metro-corridor-1-from-shivaji-maharaj-to-shaniwar-wada-6201479/
Pune: Deadline to install panic button & tracking system in vehicles extended,2020-01-06T06:08:13+05:30,Express News Service,Pune Regional Transport Office,https://indianexpress.com/article/cities/pune/pune-deadline-to-install-panic-button-tracking-system-in-vehicles-extended-6201492/
