"NRC is an ‘internal affair’ of Indian govt, says chief of Border Guards Bangladesh"," 29 December, 2019 2:19 pm IST",PTI,"Border Guards Bangladesh, NRC, PTI wire",https://theprint.in/india/nrc-is-an-internal-affair-of-indian-govt-says-chief-of-border-guards-bangladesh/342226/
"Youth of India hate anarchy, they are irritated by disorder & instability, says PM Modi"," 29 December, 2019 1:55 pm IST",ANI,"ANI wire, Mann Ki Baat, Narendra Modi",https://theprint.in/india/youth-of-india-hate-anarchy-they-are-irritated-by-disorder-instability-says-pm-modi/342204/
8 people protesting with anti-CAA-NRC rangoli detained in Chennai," 29 December, 2019 1:32 pm IST",PTI,"CAA protests, CAA-NRC, PTI wire",https://theprint.in/india/8-people-protesting-with-anti-caa-nrc-rangoli-detained-in-chennai/342196/
"Nationwide NRC will harm Adivasis the most, says Chhattisgarh CM Bhupesh Baghel"," 29 December, 2019 12:14 pm IST",ANI,"ANI wire, Bhupesh Baghel, Nationwide NRC",https://theprint.in/india/nationwide-nrc-will-harm-adivasis-the-most-says-chhattisgarh-cm-bhupesh-baghel/342170/
Only those who say Bharat Mata Ki Jai will stay in India: Union minister Dharmendra Pradhan," 29 December, 2019 12:07 pm IST",ANI,"ABVP, Dharmendra Pradhan, PTI wire",https://theprint.in/india/only-those-who-say-bharat-mata-ki-jai-will-stay-in-india-union-minister-dharmendra-pradhan/342169/
"Swami Vishwesha Teertha of Pejawar Math dies in Udupi, PM Modi condoles death"," 29 December, 2019 11:37 am IST",ANI,"ANI wire, Prime Minister Narendra Modi, Ram Janmabhoomi",https://theprint.in/india/swami-vishwesha-teertha-of-pejawar-math-dies-in-udupi-pm-modi-condoles-death/342144/
Minority Affairs Minister Naqvi demands ‘immediate action’ against UP cop’s ‘go to Pakistan’ comment," 29 December, 2019 11:30 am IST",ANI,"CAA protests, Mukhtar Abbas Naqvi, PTI wire, UP Police",https://theprint.in/india/minority-affairs-minister-naqvi-demands-immediate-action-against-up-cops-go-to-pakistan-comment/342141/
UP Police rejects Priyanka Gandhi’s allegations of manhandling in Lucknow," 29 December, 2019 11:16 am IST",PTI,"CAA protests, Priyanka Gandhi, PTI wire, UP Police",https://theprint.in/india/up-police-rejects-priyanka-gandhis-allegations-of-manhandling-in-lucknow/342135/
"Amit Shah visits ITBP HQ, reviews operational preparedness along China border"," 28 December, 2019 7:01 pm IST",PTI,"Amit Shah, ITBP, PTI wire",https://theprint.in/india/amit-shah-visits-itbp-hq-reviews-operational-preparedness-along-china-border/342098/
Dalit man’s shop set on fire in MP village after his inter-caste marriage," 28 December, 2019 6:35 pm IST",PTI,"inter-caste marriage, PTI wire",https://theprint.in/india/dalit-mans-shop-set-on-fire-in-mp-village-after-his-inter-caste-marriage/342088/
Delhi court to hear bail plea of 15 accused in Daryaganj protests on 7 January," 28 December, 2019 6:26 pm IST",ANI,"ANI wire, bail plea, CAA, Daryaganj",https://theprint.in/india/delhi-court-to-hear-bail-plea-of-15-accused-in-daryaganj-protests-on-7-january/342082/
‘Children are dying’ — Paswan accuses Kejriwal of politicising Delhi’s water crisis," 28 December, 2019 6:23 pm IST",PTI,"Arvind Kejriwal, PTI wire, Ram Vilas Paswan",https://theprint.in/india/children-are-dying-paswan-accuses-kejriwal-of-politicising-delhis-water-crisis/342080/
AMU students invite cops for iftar after daylong fast for victims of CAA protest violence," 28 December, 2019 6:07 pm IST",PTI,"AMU, CAA, Citizenship Bill protests, iftaar, PTI wire, Student protests, UP Police",https://theprint.in/india/amu-students-invite-cops-for-iftar-after-daylong-fast-for-victims-of-caa-protest-violence/342078/
"Don’t implement NPR, Yechury urges Chandrasekhar Rao and other CMs"," 28 December, 2019 5:58 pm IST",PTI,"NPR, PTI wire, Sitaram Yechury",https://theprint.in/india/dont-implement-npr-yechury-urges-chandrasekhar-rao-and-other-cms/342077/
"After ‘go to Pakistan’ video goes viral, Meerut SP says protesters were raising anti-India slogans"," 28 December, 2019 5:16 pm IST",Prashant Srivastava,"CAA, Go to Pakistan, UP Police",https://theprint.in/india/after-go-to-pakistan-video-goes-viral-meerut-sp-says-protesters-were-raising-anti-india-slogans/342057/
Editors Guild slams BJP’s Amit Malviya for ‘McCarthyist’ Twitter poll on Rajdeep Sardesai," 28 December, 2019 4:59 pm IST",ThePrint Team,"Amit Malviya, Editors Guild of India, rajdeep sardesai",https://theprint.in/india/editors-guild-slams-bjps-amit-malviya-for-mccarthyist-twitter-poll-on-rajdeep-sardesai/342049/
‘For peace on campus’ — IIT-Kanpur students’ e-magazine asked to take down article on CAA," 28 December, 2019 3:26 pm IST",Prashant Srivastava,"CAA, Citizenship Bill protests, IIT Kanpur, Student protests",https://theprint.in/india/for-peace-on-campus-iit-kanpur-students-e-magazine-asked-to-take-down-article-on-caa/342000/
Panel to probe damage to public property during anti-CAA protests in Muzaffarnagar," 28 December, 2019 2:54 pm IST",PTI,"CAA, Citizenship Bill protests, Muzaffarnagar, PTI wire",https://theprint.in/india/panel-to-probe-damage-to-public-property-during-anti-caa-protests-in-muzaffarnagar/341985/
"Farmers with more than Rs 2-lakh loan not eligible for waiver, says Uddhav Thackeray govt"," 28 December, 2019 2:28 pm IST",PTI,"Farm loan waivers, PTI wire, Uddhav Thackeray",https://theprint.in/india/farmers-with-more-than-rs-2-lakh-loan-not-eligible-for-waiver-says-uddhav-thackeray-govt/341969/
"Path to honesty is tortuous, sometimes damaging: Election Commissioner Ashok Lavasa"," 28 December, 2019 1:04 pm IST",Sanya Dhingra,"Ashok Lavasa, Modi govt 2019",https://theprint.in/india/path-to-honesty-is-tortuous-sometimes-damaging-election-commissioner-ashok-lavasa/341931/
410 vacancies but govt sat on names — why 2019 wasn’t a good year for judge appointments," 28 December, 2019 12:37 pm IST",Debayan Roy,"Chief Justice of India, Justice Kureshi, Supreme Court, The Year 2019",https://theprint.in/india/governance/judiciary/410-vacancies-but-govt-sat-on-names-why-2019-wasnt-a-good-year-for-judge-appointments/341134/
Weightlifter Seema handed 4-year suspension for doping," 28 December, 2019 12:31 pm IST",PTI,"Anti-doping, PTI wire, WADA",https://theprint.in/india/weightlifter-seema-handed-4-year-suspension-for-doping/341921/
"Army rescues 1,500 tourists stranded in Sikkim’s Nathu La due to heavy snowfall"," 28 December, 2019 12:08 pm IST",PTI,"ARMY, PTI wire, Sikkim",https://theprint.in/india/army-rescues-1500-tourists-stranded-in-sikkims-nathu-la-due-to-heavy-snowfall/341919/
